標題,發布時間
​【工廠火災】【29日新北市新莊區新樹路234巷3工廠火災，已撲滅，無傷亡】,111-01-29
【住宅火災】【29日新北市鶯歌區鶯桃路2段住宅火災，已撲滅，1消防人員燒燙傷送醫】,111-01-29
 【漁船火災】【30日基隆市中正區「正濱漁港」「日春輪268號」漁船火災，已撲滅，無傷亡】,111-01-30
【山域事故】【30日花蓮縣秀林鄉「卡羅樓山」三角點西南方1.5公里處，1行2人失溫申請救援案，31日空勤直升機及本署特搜共勤成功吊掛、平安救出】,111-02-01
【住宅火災】【31日桃園市八德區住宅火災，已撲滅，無傷亡】,111-02-01
【住宅火災】【31日南投縣水里鄉住宅火災，已撲滅，1焦屍】,111-02-01
【住宅火災】【31日新北市貢寮區住宅火災，已撲滅，無傷亡】,111-02-01
【住宅火災】【31日高雄市左營住宅火災，已撲滅，1女無生命徵象】,111-02-01
【住宅火災】【3日新北市三重區長壽西街住宅火災，已撲滅，4人輕傷送醫】,111-02-03
【住宅火災】【3日臺南市永康區忠孝路住宅火災，已撲滅，1焦屍】,111-02-03
【住宅火災】【4日臺東縣卑南鄉太平路住宅火災，已撲滅，無傷亡】,111-02-05
【工廠火災】【6日臺中市大里區國光路1段工廠火災，已撲滅，無傷亡】,111-02-06
​【廢棄空屋火災】【6日南投縣鹿谷鄉中正路3段廢棄空屋火災，已撲滅，無傷亡】,111-02-06
​【地震】【2月6日14:54臺東縣政府東北東方26.8公里(臺灣東南部海域)發生芮氏規模4.0地震，無災情】,111-02-06
【工廠火災】【8日新北市泰山區新五路一段工廠火災，已撲滅，無傷亡】,111-02-09
 【陸上交通事故】【13:30基隆市暖暖區台62線東向5.7K處1自小客自撞車禍，1人無生命徵象、3人輕傷，已全數救出送醫】,111-02-09
 【工廠火災】【9日彰化縣福興鄉番社街某木材工廠火災，已撲滅，無傷亡】,111-02-09
​【住宅火災】【9日金門縣金城鎮民族路住宅火災，已撲滅，無傷亡】,111-02-09
​【工寮火災】【9日花蓮縣吉安鄉南山五街工寮火災，已撲滅，1男輕傷送醫】,111-02-09
​【車輛火災】【9日嘉義縣民雄鄉松山村車輛火災，已撲滅，1男無生命徵象送醫】,111-02-09
​【陸上交通事故】【17:51國道一號南下176.2公里(臺中市西屯區)國光客運與4自小客車車禍，造成9人輕傷送醫，18:37全數送醫】,111-02-09
​【住宅火災】【9日臺中市潭子區中山路一段住宅火災，已撲滅，無傷亡】,111-02-10
【山域事故】【10日南投縣卓溪鄉「馬博拉斯山屋」1女高山症，空勤直升機及本署特搜共勤成功吊掛送醫】,111-02-10
【陸上交通事故】【11:55臺中市外埔區水美路(國道三號橋下)砂石車與遊覽車車禍，造成7人輕傷送醫，12:14全數送醫】,111-02-10
【住宅火災】【10日新北市新莊區住宅火災，已撲滅，1人無生命徵象送醫】,111-02-11
【住宅火災】【11日臺北市大安區住宅火災，已撲滅，無傷亡】,111-02-11
【資源回收廠火災】【12日高雄市小港區資源回收廠火災，已撲滅，無傷亡】,111-02-12
【住宅火災】【14日新北市新店區新明街住宅火災，已撲滅，1人無生命徵象、2人受傷送醫】,111-02-14
【住宅火災】【14日花蓮縣花蓮市中正路住宅火災，已撲滅，無傷亡】,111-02-15
【消防快訊-縱火】15日14:20高雄市小港區漢民路商店火災，無傷亡,111-02-15
【消防快訊-11:39彰化基督教醫院2樓天花板輕鋼架內空氣濾芯冒煙，由現場民眾以滅火器撲滅，未疏散，無傷亡】,111-02-15
【消防快訊-10:11臺中市清水區梧棲漁港1艘漁船起火，12:51火勢撲滅，無傷亡】,111-02-15
【住宅火災】【15日嘉義縣水上鄉寬士村崎子頭住宅火災，已撲滅，無傷亡】,111-02-15
【工廠火災】【15日彰化縣二林鎮廣興巷紙廠廠區戶外空地堆放紙磚火災，已撲滅，無傷亡】,111-02-15
【住宅火災】【16日雲林縣林內鄉成功路住宅火災，已撲滅，無傷亡】,111-02-16
【地震】【2月16日13:41花蓮縣政府西南西方18.8公里(花蓮縣秀林鄉)發生芮氏規模4.4地震】,111-02-16
【店鋪火災】【16日臺北市萬華區西寧南路店鋪火災，已撲滅，無傷亡】,111-02-16
【住宅火災】【17日南投縣草屯鎮富頂路1段住宅火災，已撲滅，1男呼吸道灼傷送醫】,111-02-17
【工廠火災】【18日臺南市歸仁區西埔一街工廠火災，已撲滅，無傷亡】,111-02-18
【工廠火災】【18日臺南市安定區工廠火災，已撲滅，無傷亡】,111-02-18
【一氧化碳中毒】【18日基隆市信義區東明路4人一氧化碳中毒2人意識不清2人意識清楚送醫】,111-02-18
【住宅火災】【18日新北市永和區豫溪街住宅火災，已撲滅，1人無生命徵象送醫】,111-02-19
​【學校火災】【19日宜蘭縣宜蘭市「國立宜蘭大學」教師研究室火災，已撲滅，1人輕傷送醫】,111-02-19
​【宿舍火災】【19日雲林縣麥寮鄉工業路公司宿舍火災，已撲滅，無傷亡】,111-02-19
​【工廠火災】【20日彰化縣鹿港鎮鹿工路工廠火災，已撲滅，無傷亡】,111-02-20
【學校火災】【20日屏東縣東港鎮東港國民小學中庭聖誕樹裝飾火災，已撲滅，無傷亡】,111-02-21
【住宅火災】【21日臺東縣關山鎮住宅火災，已撲滅，1人身體不適送醫】,111-02-21
【氣爆】【21日新北市板橋區縣民大道3段住宅氣爆，已撲滅，造成1死亡另2輕傷送醫】,111-02-21
​【住宅火災】【22日臺北市松山區光復南路住宅火災，已撲滅，無傷亡】,111-02-22
【住宅火災】【22日桃園市龍潭區佳安西路住宅火災，已撲滅，1女無生命徵象送醫急救】,111-02-22
【工廠火災】【22日嘉義縣民雄鄉中山路工廠火災，已撲滅，無傷亡】,111-02-23
【汽修廠火災】【22日嘉義市西區民生南路1汽修廠火災，已撲滅，1人輕傷送醫】,111-02-23
【住宅火災】【23日嘉義縣大林鎮大美里住宅火災，已撲滅，2輕傷送醫】,111-02-24
【住宅火災】【23日臺東縣臺東市綏遠路住宅火災，已撲滅，2嗆傷送醫檢查】,111-02-24
【住宅火災】【25日臺中市大甲區光明路1住宅火災，已撲滅，無傷亡】,111-02-25
【一氧化碳中毒】【26日基隆市中山區中和路3人一氧化碳中毒，意識清楚送醫】,111-02-26
【一氧化碳中毒】【26日桃園市大園區中山南路2人一氧化碳中毒，意識清楚送醫】,111-02-26
【山域事故】【26日11:04新竹縣尖石鄉品田山第一斷崖2男墜崖死亡案，空勤直升機及本署特搜共勤成功吊掛】,111-02-28
【鐵皮屋火災】【28日彰化縣溪湖鎮鐵皮屋火災，已撲滅，1焦屍】,111-02-28
【住宅火災】【28日臺中市龍井區藝術南街1住宅火災，已撲滅，1無生命徵象送醫】,111-02-28
【住宅火災】【28日花蓮縣花蓮市重慶路1住宅火災，已撲滅，無傷亡】,111-02-28
【一氧化碳中毒】【28日臺中市大雅區平和南路2人一氧化碳中毒，意識清楚送醫】,111-02-28
【住宅火災】【1日新北市三重區光復路1住宅火災，已撲滅，1女無生命徵象送醫】,111-03-01
【住宅火災】【1日嘉義縣太保市三合路1住宅火災，已撲滅，無傷亡】,111-03-01
【工廠火災】【1日嘉義縣東石鄉永屯村1爆竹工廠火災，已撲滅，1人燒傷送醫】,111-03-01
【工廠火災】【1日桃園市新屋區埔工路輕合金工廠火災，已撲滅，3人燒燙傷送醫】,111-03-01
【工廠火災】【1日桃園市平鎮區工業三路鋁鎂合金工廠火災，已控制，1男燒燙傷送醫、1女明顯死亡】,111-03-02
【住宅火災】【2日雲林縣古坑鄉住宅火災，已撲滅，1男明顯死亡、1男無生命徵象送醫】,111-03-02
【倉庫火災】【2日臺北市大同區住宅火災，已撲滅，3人嗆傷送醫】,111-03-02
【3日09:07全台大範圍停電，截至20:15全國各縣市電梯受困案件總計328件，救出395人，無待處理案件，惟南部地區尚未全面復電，後續由台電處理】,111-03-04
【工地火災】【3日臺北市建國南路1段某施工大樓火災，已撲滅，無傷亡】,111-03-04
【臨時屋火災-消防員受傷】【3日臺中市石岡區石岡水壩第一公墓攤販區臨時屋火災，1消防受傷】,111-03-04
【住宅火災】【3日雲林縣東勢鄉富農北路15巷某住宅火災，已撲滅，無傷亡】,111-03-04
【地震】【3月3日19:33宜蘭縣政府南南東方28.9公里(宜蘭縣近海)發生芮氏規模3.7地震】,111-03-04
【住宅火災】【6日南投縣國姓鄉北原路住宅火災，已撲滅，無傷亡】,111-03-06
【住宅火災】【6日臺中市中區興中街住宅火災，已撲滅，造成6死6傷】結報,111-03-07
【倉庫火災】【8日高雄市鳥松區倉庫火災，已撲滅，無傷亡】,111-03-08
【山域事故】【9日高雄市桃源區「海若南山」1女疑似高山症，空勤直升機及本署特搜共勤成功落地搭載送醫】,111-03-09
【區公所火災】【9日新北市鶯歌區仁愛路「鶯歌區公所」火災，已撲滅，無傷亡】,111-03-10
【工廠火災】【9日臺中市太平區永義路印刷工廠火災，已撲滅，救出4人，無傷亡】,111-03-10
【山域事故】【10日臺中市和平區雪東線10.5公里處1女摔落山谷無法行走，空勤直升機及本署特搜共勤成功落地搭載送醫】,111-03-12
【雜草火災】【2日臺中市北屯區東山路二段公墓雜草火災，已撲滅，1焦屍】,111-03-12
【住宅火災】【金門縣金沙鎮汶沙里忠孝新村某住宅火災，已撲滅，無傷亡】,111-03-12
【山域事故】【11日苗栗縣南庄鄉東河村鹿場神仙谷2人溺水均無生命徵象，空勤直升機及本署特搜共勤吊掛後送】,111-03-12
【住宅火災】【12日臺東縣卑南鄉初鹿一街16巷某住宅火災，已撲滅，無傷亡】,111-03-12
